OBJECTID,ROUTEID,FROMMEASURE,TOMEASURE,FROMDATE,TODATE,EVENTID,AADT,AADT_YEAR,LOCERROR,SHAPELEN
161,11000302,1049.548811,1114.6784,2017-01-01T00:00:00.000Z,,{8A92D457-F125-450D-877D-D506F0A0C8E6},12212,2017,NO ERROR,65.1296414938787
162,11000302,1114.6794,1152.262171,2017-01-01T00:00:00.000Z,,{230BD06D-9FFF-40C8-9417-1585728800F7},2525,2017,NO ERROR,37.583822698507
163,11000302,1152.262171,1190.27155,2017-01-01T00:00:00.000Z,,{82E403BD-505F-4555-A31C-E09672B0340D},2525,2017,NO ERROR,38.0093309766805
164,11000302,1190.27155,1232.789119,2017-01-01T00:00:00.000Z,,{38F77F70-03DA-47D0-8BAA-7D7FFACAB880},2525,2017,NO ERROR,42.5176046425948
165,11000302,1232.789119,1364.789271,2017-01-01T00:00:00.000Z,,{109A9989-042D-4E60-90BD-12E47983C99C},2525,2017,NO ERROR,132.00014436511
166,11000302,1364.7903,1414.003322,2017-01-01T00:00:00.000Z,,{3DE15BF8-ABAF-4AC4-B70C-93DD769A4683},2000,2017,NO ERROR,49.2141456892091
167,11000302,1414.003322,1506.058122,2017-01-01T00:00:00.000Z,,{966B4A72-A9B3-41BE-95EE-AD0D6A190892},2000,2017,NO ERROR,92.0548088059788
168,11000302,1506.058122,1592.1776,2017-01-01T00:00:00.000Z,,{5F529920-17EF-42E4-8995-215C21CE0574},2000,2017,NO ERROR,86.1194815779217
169,11000302,1592.1786,1648.149089,2017-01-01T00:00:00.000Z,,{D2EE2EB7-4ACF-48D5-8991-5AF38329F42E},2000,2017,NO ERROR,55.9714813021905
170,11000302,1648.149089,1665.117619,2017-01-01T00:00:00.000Z,,{90C942A4-93C5-4714-BEA9-BA29823B6C39},2000,2017,NO ERROR,16.9685176871759
171,11000302,1665.117619,1711.350125,2017-01-01T00:00:00.000Z,,{3DFE26AC-7317-461B-AF24-ACF1D067D09D},2000,2017,NO ERROR,46.2325178574879
172,11000302,1711.350125,1793.380423,2017-01-01T00:00:00.000Z,,{17AB5CA3-746D-485A-9F66-58A300E5EE1D},2000,2017,NO ERROR,82.0303137945432
173,11000302,1793.380423,1875.530492,2017-01-01T00:00:00.000Z,,{8346A878-5135-4B1C-9149-2CB170564277},2000,2017,NO ERROR,82.1500528630646
174,11000302,1875.530492,2039.85365,2017-01-01T00:00:00.000Z,,{DBBE8195-C61A-4710-A372-41D913F5E6AB},2000,2017,NO ERROR,164.323158077386
175,11000302,2039.85365,2079.473963,2017-01-01T00:00:00.000Z,,{55FC74D9-B623-4AED-9399-31CBB44865C2},2000,2017,NO ERROR,39.6203134881297
176,11000302,2079.473963,2101.1756,2017-01-01T00:00:00.000Z,,{4012FD12-6C4A-4662-B776-1596ABB013E5},2000,2017,NO ERROR,21.7016939053909
177,11000302,2101.1756,2128.7141,2017-01-01T00:00:00.000Z,,{C989294E-8667-4D82-B2E1-84A78F7D791B},2000,2017,NO ERROR,27.5384920929964
178,11000302,2128.7151,2160.55133,2017-01-01T00:00:00.000Z,,{BEA057D7-707B-42B5-9108-3E027000D6C5},2000,2017,NO ERROR,31.8371987288058
179,11000302,2160.55133,2180.285368,2017-01-01T00:00:00.000Z,,{59F39D8B-28E9-477C-B563-8B77823722E5},2000,2017,NO ERROR,19.7340483086825
180,11000302,2180.285368,2216.79406,2017-01-01T00:00:00.000Z,,{5B331B8A-27A7-46A1-B8BA-4ECD80F1A548},2000,2017,NO ERROR,36.5086585598029
181,11000302,2216.79406,2265.348374,2017-01-01T00:00:00.000Z,,{879528C9-AB6E-4797-A187-CDB258814CA2},2000,2017,NO ERROR,48.5543380867775
182,11000302,2265.348374,2357.9792,2017-01-01T00:00:00.000Z,,{BED8A04D-9AD3-4599-823B-58E4E30D6639},2000,2017,NO ERROR,92.6308564309497
183,11000302,2357.9802,2396.234135,2017-01-01T00:00:00.000Z,,{03B5BEB4-9A14-4D32-B28B-BD84605B0182},2000,2017,NO ERROR,38.254844558674
184,11000302,2396.234135,2446.733802,2017-01-01T00:00:00.000Z,,{AC8F70CC-DC58-4685-8AF5-A0669E6108A9},2000,2017,NO ERROR,50.4996932800876
185,11000302,2446.733802,2514.2253,2017-01-01T00:00:00.000Z,,{50CA78AE-CFCA-40CA-B74F-ECE013A746AB},2000,2017,NO ERROR,67.4915258273704
186,11000302,2514.2263,2543.610172,2017-01-01T00:00:00.000Z,,{593DA4E9-8DC5-4B53-A8B3-00ABA9A815FE},2000,2017,NO ERROR,29.3848719319619
187,11000302,2543.610172,2580.501001,2017-01-01T00:00:00.000Z,,{449216BD-1B19-4EC7-9FEF-AAF14CB99CCA},2000,2017,NO ERROR,36.8908519926483
188,11000302,2580.501001,2624.155274,2017-01-01T00:00:00.000Z,,{21CE3D6D-4574-4924-BBB0-502BCA80FF7B},2000,2017,NO ERROR,43.6542590589979
189,11000302,2624.155274,2662.449291,2017-01-01T00:00:00.000Z,,{89DF3085-B11E-47E3-B361-A882E7DF388E},2000,2017,NO ERROR,38.29399106999
190,11000302,2662.449291,2738.765893,2017-01-01T00:00:00.000Z,,{EB213B9E-2890-44DD-B01F-E47EEDCBA07F},2000,2017,NO ERROR,76.3166033124951
191,11000302,2738.765893,2781.53737,2017-01-01T00:00:00.000Z,,{463B882F-5AF4-4270-B3EF-3CFE905DCC4A},2000,2017,NO ERROR,42.7714758539709
192,11000302,2781.53737,2811.186477,2017-01-01T00:00:00.000Z,,{B8CABB17-3F00-43FD-A3AA-F9D9DE3BD340},2000,2017,NO ERROR,29.6491253686331
193,11000302,2811.186477,2900.64765,2017-01-01T00:00:00.000Z,,{20B30D58-1D56-4C25-B32C-CCDDBBEAD61E},2000,2017,NO ERROR,89.4611537274249
194,11000302,2900.64765,3019.052067,2017-01-01T00:00:00.000Z,,{E2EA4BB9-5011-43FC-AA8D-F6F02F32FD81},2000,2017,NO ERROR,118.404417563484
